voter,licensed,philippines,gender,age,working,industry,years_service,institution,tenure,gross_salary,net_salary,benefits1,benefits2,benefits3,benefits4,benefits5,otherbenefits1,otherbenefits2,otherbenefits3,otherbenefits4,materials1,materials2,materials3,materials4,materials5,materials6,materials7,othermaterials1,othermaterials2,othermaterials3,othermaterials4,position,fiveyears,pursue,education,enrolled,completing,study_again,5yearsdegree,cpd1,cpd2,cpd3,cpd4,cpdsupport1,cpdsupport2,cpdsupport3,cpdsatisfaction,cpdbarriers1,cpdbarriers2,cpdbarriers3,topics1,topics2,topics3,topics4,topics5,location,worktravel,filipino,dialect,foreignlang,type,roles,institutionposition,primaryjob,affiliation,factor
191,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,30,"Yes, I am currently employed by an institution, agency, individual or similar.",library,4,government,permanent,NA,NA,monetary allowances,NA,NA,NA,NA,other government benefits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,49,"Yes, I am currently employed by an institution, agency, individual or similar.",library,7,private (BPO),permanent,NA,1,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),No,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,Region VI,No,Yes,Ilonggo,tagalog,College library,Technical Assistant,Head-Technical Services,"Management, Cataloging",PLAI,To widen my knowledge in terms of my profession as a librarian.
194,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,43,"Yes, I am currently employed by an institution, agency, individual or similar.",library,18,private (in-house),permanent,24,20,paid vacation and/or sick leaves,NA,NA,NA,NA,Discount on tuition fees of children,NA,NA,NA,hardcopy books / pamphlets / etc,institutional files and records,NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Maybe / Undecided,NA,Master's degree (non-MLIS),No.,NA,Yes,Master's degree (MLIS),government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"No, the amount of trainings I received within the last two (2) years is not enough.",NA,NA,NA,"Anything related to my profession with CPD, of course",NA,NA,NA,NA,NCR,No,Yes,Ilocano,NA,Academic,None,Working with other librarians,"Management, cataloging","Plai
Paarl
QCLC",Prof growth
195,"Yes, I have a valid and up-to-date PRC license for librarians","No, I am currently residing outside the Philippines",Man,40,"Yes, I am currently employed by an institution, agency, individual or similar.",library,13,private (in-house),permanent,NA,NA,NONE / Not Applicable,NA,NA,NA,NA,housing allowance.,NA,NA,NA,hardcopy books / pamphlets / etc,institutional files and records,NA,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Yes,NA,Bachelor's degree (non-BLIS),No.,NA,Yes,Master's degree (MLIS),NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,"Archiving, Training on keeping old manuscripts and how to preserve it. Knowlege on different chemical to prserve Library materials and Historical records.",NA,NA,NA,NA,Region III,Yes,Yes,Kapampangan,NA,Academic/Secondary library,IGCSE Literature teacher,Teacher -Librarian,One man Librarian,before member of PASLI and PLAI-CeLRLC,Collaboration and attaining more Knowledge and Updating the current Library trends.
196,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,32,"Yes, I am currently employed by an institution, agency, individual or similar.",library,12,government,job order (J.O.),NA,30,NONE / Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",institutional files and records,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,51,"Yes, I am currently employed by an institution, agency, individual or similar.",library,18,government,permanent,33,33,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,"1. We have 6,000 for clothing allowance.
2. 13th and 14th month.
3. CNA bunos.
4. Others",NA,NA,NA,hardcopy books / pamphlets / etc,law materials and resources,institutional files and records,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Yes,NA,Master's degree (non-MLIS),No.,NA,Maybe,NA,government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",within the work place (in-house trainings),NA,"from the government (scholarships, free trainings and seminars, etc)",personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,it depends from our organization in organizing any activity to sought the need of our fellow librarians.,NA,NA,NA,NA,Region VII,No,Yes,Cebuano,na,Provincial Library.,I am a Technical Services Librarian and trained to be an Archivist.,Supervisor working with other librarians.,"Management, Cataloging","PLAI, PSPL, BOLA",for camaraderie to other librarians outside the province.
198,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,22,"Yes, I am currently employed by an institution, agency, individual or similar.",NA,2,government,job order (J.O.),15,15,NONE / Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,none.,NA,NA,NA,entry level / junior staff,No (planning to shift to other fields or industry),still in the library science field but in a different institution.,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Yes,Short | Certificate | Diploma Program,government facilitated trainings and symposiums,NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",The registration fees for the training is very expensive given that I personally pay for it and am not supported by the institution where I work in.,NA,NA,Archives management. Library automation.,NA,NA,NA,NA,Region VII,No,No,Cebuano,none.,Academic library,none,Mid-level librarian working with other librarian.,"Management, cataloging, reference",PLAI,its relevance to my present position.
199,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,34,"Yes, I am currently employed by an institution, agency, individual or similar.",library,10,private (in-house),permanent,22,10,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,NA,Scholarships for children (tuition fee discount),NA,NA,NA,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,institutional files and records,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,tabletop games collection,NA,NA,NA,supervisory / mid-management level,Maybe / Undecided,To work in a public library,Master's degree (MLIS),No.,NA,Yes,Short | Certificate | Diploma Program,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",none,NA,NA,Metaliteracy,NA,NA,NA,NA,Region IV,No,Yes,Ilocano,none,school library,researcher,mid-level librarian,Administration/management,"PASLI, PLAI",field of work
200,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,30,"Yes, I am currently employed by an institution, agency, individual or similar.",library,7,government,contractual,24,21,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,Rice and clothing allowance,NA,NA,NA,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Maybe,Post-graduate Certificate or Diploma (LIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),"from the government (scholarships, free trainings and seminars, etc)",NA,"No, the amount of trainings I received within the last two (2) years is not enough.",NA,NA,NA,NA,NA,NA,NA,NA,Region IV,Yes,Yes,NA,NA,Academic Library,NA,Mid-level librarian working with other librarian,"Collection Development, Reference","PLAI, ALAP",NA
201,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,20,"Yes, I am currently employed by an institution, agency, individual or similar.",library,1,private (in-house),contractual,15,12,NONE / Not Applicable,NA,NA,NA,NA,"Philhealth, Pag-ibig, SSS",NA,NA,NA,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Yes,NA,Bachelor's degree (BLIS),Yes,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),within the work place (in-house trainings),NA,NA,NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",nothing,NA,NA,philippine library settings,NA,NA,NA,NA,Region III,Yes,Yes,Kapampangan,NA,academic library,NA,section head librarian,graduate school librarian,PLAI,NA
202,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,32,"Yes, I am currently employed by an institution, agency, individual or similar.",library,10,government,permanent,25,12,paid vacation and/or sick leaves,NA,NA,NA,NA,"Rice, clothing, grocery allowances; performance incentive bonus",NA,NA,NA,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Master's degree (MLIS),Yes,Master's degree (MLIS),Maybe,Post-graduate Certificate or Diploma (non-LIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",within the work place (in-house trainings),NA,NA,"from the government (scholarships, free trainings and seminars, etc)",from the work place (private sponsorship),NA,"No, the amount of trainings I received within the last two (2) years is not enough.",NA,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,Bicolano,NA,Academic/Special Library,Admin,Acquisitions Librarian,NA,"PLAI, AASDI","Credibility and sustainability of the organization, should be an accredited national organization"
203,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,30,"Yes, I am currently employed by an institution, agency, individual or similar.",library,2,government,permanent,22,20,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,"clothing allowance
Cash gift
Mid year bonus
Rice allowance
13th month",NA,NA,NA,institutional files and records,data sets,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),within the work place (in-house trainings),government facilitated trainings and symposiums,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.","Locations...
Fees airfare, sana me institution na maghandle din ng airfare...",NA,NA,"How to know/accomodate the special person? I want to learn sign language, how to use braille,",NA,NA,NA,NA,NCR,No,Yes,Others,NA,NA,NA,"District 6 Coordinator 
Quezon City Public Library",NA,PLAI,NA
204,"No, I have not renewed my license","Yes, I am currently residing and staying in the Philippines",Woman,29,"Yes, I am currently employed by an institution, agency, individual or similar.",library,6,private (in-house),permanent,22,20,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Maybe / Undecided,NA,Bachelor's degree (BLIS),No.,NA,Maybe,Master's degree (MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"No, the amount of trainings I received within the last two (2) years is not enough.",Financial assistance from private institution is limited.,NA,NA,NA,NA,NA,NA,NA,Region IV,No,Yes,NA,NA,School library.,NA,Team Leader working with other librarians and library staff.,Team Leader,NA,NA
